0,1,2,3,4,5,6,7,8,9,10
nut snack,bottled beer,,,,,,,,,
chicken,bottled beer,soda,domestic eggs,other vegetables,,,,,,
other vegetables,margarine,,,,,,,,,
soda,cat food,,,,,,,,,
yogurt,sugar,margarine,,,,,,,,
detergent,salty snack,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
pork,pork,male cosmetics,,,,,,,,
rolls/buns,butter,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
liver loaf,herbs,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
sausage,cocoa drinks,,,,,,,,,
other vegetables,beef,tropical fruit,brown bread,cat food,,,,,,
canned beer,other vegetables,yogurt,,,,,,,,
whole milk,waffles,,,,,,,,,
whole milk,whole milk,,,,,,,,,
pork,brown bread,,,,,,,,,
fruit/vegetable juice,pot plants,,,,,,,,,
yogurt,yogurt,,,,,,,,,
pip fruit,white wine,root vegetables,shopping bags,,,,,,,
oil,pickled vegetables,,,,,,,,,
soda,pickled vegetables,,,,,,,,,
oil,shopping bags,,,,,,,,,
ice cream,yogurt,,,,,,,,,
butter,rolls/buns,,,,,,,,,
pastry,syrup,,,,,,,,,
other vegetables,dessert,,,,,,,,,
yogurt,popcorn,,,,,,,,,
whole milk,yogurt,,,,,,,,,
citrus fruit,chicken,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
domestic eggs,curd,,,,,,,,,
canned beer,newspapers,,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
chicken,sliced cheese,,,,,,,,,
canned beer,dessert,frozen meals,,,,,,,,
packaged fruit/vegetables,popcorn,,,,,,,,,
berries,frozen meals,dish cleaner,,,,,,,,
shopping bags,beef,citrus fruit,cat food,,,,,,,
citrus fruit,hamburger meat,photo/film,,,,,,,,
other vegetables,whole milk,,,,,,,,,
popcorn,flour,,,,,,,,,
pip fruit,dessert,sauces,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
whole milk,finished products,beef,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
tropical fruit,mayonnaise,other vegetables,meat,roll products,napkins,frozen meals,newspapers,,,
misc. beverages,hard cheese,herbs,sugar,,,,,,,
bottled water,specialty bar,,,,,,,,,
canned beer,tropical fruit,margarine,,,,,,,,
misc. beverages,frozen vegetables,,,,,,,,,
root vegetables,pastry,specialty chocolate,,,,,,,,
beef,misc. beverages,beef,salty snack,,,,,,,
whole milk,butter,,,,,,,,,
curd,condensed milk,dental care,,,,,,,,
whole milk,domestic eggs,syrup,,,,,,,,
beef,mayonnaise,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
root vegetables,yogurt,butter,yogurt,,,,,,,
sausage,tropical fruit,,,,,,,,,
pork,dessert,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
bottled water,white bread,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
pork,other vegetables,,,,,,,,,
pork,root vegetables,,,,,,,,,
root vegetables,beef,,,,,,,,,
photo/film,chewing gum,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
waffles,butter milk,domestic eggs,,,,,,,,
beef,other vegetables,,,,,,,,,
whole milk,other vegetables,red/blush wine,coffee,other vegetables,bottled water,bottled water,sugar,,,
yogurt,other vegetables,,,,,,,,,
pastry,chicken,packaged fruit/vegetables,tropical fruit,packaged fruit/vegetables,pasta,photo/film,sugar,,,
pastry,whole milk,,,,,,,,,
pork,bottled beer,,,,,,,,,
hamburger meat,soda,,,,,,,,,
citrus fruit,brown bread,specialty chocolate,,,,,,,,
root vegetables,coffee,napkins,,,,,,,,
cream cheese,baking powder,,,,,,,,,
other vegetables,other vegetables,canned fish,chewing gum,,,,,,,
whole milk,citrus fruit,,,,,,,,,
citrus fruit,sausage,bottled beer,herbs,,,,,,,
brown bread,processed cheese,,,,,,,,,
soda,root vegetables,,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
canned beer,margarine,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
beef,frankfurter,other vegetables,brown bread,,,,,,,
pork,yogurt,whole milk,,,,,,,,
sausage,root vegetables,bottled beer,butter,whole milk,newspapers,yogurt,,,,
beverages,jam,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
bottled beer,whole milk,soda,whole milk,soft cheese,soda,shopping bags,sugar,,,
other vegetables,soda,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
canned beer,herbs,,,,,,,,,
chocolate,whipped/sour cream,,,,,,,,,
pastry,whipped/sour cream,decalcifier,,,,,,,,
canned beer,berries,,,,,,,,,
canned beer,shopping bags,whole milk,,,,,,,,
canned beer,dessert,fruit/vegetable juice,,,,,,,,
chicken,frozen vegetables,candy,,,,,,,,
rolls/buns,grapes,potato products,,,,,,,,
soda,other vegetables,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,yogurt,bottled water,,,,,,,,
butter milk,whole milk,white bread,rolls/buns,,,,,,,
ham,whole milk,artif. sweetener,,,,,,,,
sausage,yogurt,whole milk,,,,,,,,
bottled water,onions,root vegetables,grapes,,,,,,,
turkey,root vegetables,other vegetables,berries,salty snack,,,,,,
whole milk,chocolate marshmallow,,,,,,,,,
pork,pastry,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
frankfurter,soda,canned beer,white bread,brown bread,,,,,,
ham,yogurt,,,,,,,,,
specialty fat,pet care,,,,,,,,,
margarine,root vegetables,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
frozen vegetables,citrus fruit,,,,,,,,,
rolls/buns,popcorn,fruit/vegetable juice,,,,,,,,
rolls/buns,instant coffee,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
bottled water,grapes,,,,,,,,,
mayonnaise,chocolate,,,,,,,,,
rolls/buns,yogurt,sugar,,,,,,,,
soda,rolls/buns,napkins,salt,,,,,,,
candy,bottled water,,,,,,,,,
beverages,fruit/vegetable juice,,,,,,,,,
other vegetables,liquor,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
grapes,packaged fruit/vegetables,detergent,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
pork,other vegetables,curd,domestic eggs,domestic eggs,domestic eggs,,,,,
butter,whole milk,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
newspapers,soups,,,,,,,,,
berries,rolls/buns,,,,,,,,,
grapes,domestic eggs,,,,,,,,,
brown bread,frozen fish,,,,,,,,,
butter,bottled water,,,,,,,,,
misc. beverages,whipped/sour cream,pastry,,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
butter,dish cleaner,light bulbs,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
rolls/buns,grapes,domestic eggs,,,,,,,,
fish,chocolate,,,,,,,,,
whole milk,ham,other vegetables,rum,canned beer,,,,,,
rolls/buns,dog food,,,,,,,,,
UHT-milk,candles,,,,,,,,,
citrus fruit,root vegetables,whole milk,chewing gum,coffee,shopping bags,,,,,
butter milk,brown bread,,,,,,,,,
rolls/buns,soda,,,,,,,,,
whole milk,hard cheese,white bread,,,,,,,,
sausage,yogurt,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
tropical fruit,spread cheese,onions,mayonnaise,,,,,,,
citrus fruit,brown bread,,,,,,,,,
artif. sweetener,curd,,,,,,,,,
other vegetables,beef,soda,curd,butter,,,,,,
onions,domestic eggs,waffles,,,,,,,,
sausage,tropical fruit,,,,,,,,,
soda,candy,,,,,,,,,
tropical fruit,bottled water,dishes,,,,,,,,
yogurt,whole milk,,,,,,,,,
sausage,beverages,canned beer,whole milk,,,,,,,
chicken,chicken,salt,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
meat,canned beer,,,,,,,,,
canned beer,ready soups,,,,,,,,,
cake bar,flower soil/fertilizer,,,,,,,,,
coffee,root vegetables,whipped/sour cream,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
whole milk,chocolate marshmallow,,,,,,,,,
canned vegetables,root vegetables,cake bar,,,,,,,,
white bread,canned beer,,,,,,,,,
fish,pickled vegetables,hard cheese,,,,,,,,
root vegetables,butter,,,,,,,,,
pork,soda,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
ice cream,whole milk,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
liqueur,whole milk,onions,soda,,,,,,,
herbs,vinegar,chocolate,cleaner,,,,,,,
whole milk,dessert,,,,,,,,,
beef,soda,,,,,,,,,
meat,rum,,,,,,,,,
cream cheese,root vegetables,soda,,,,,,,,
whole milk,other vegetables,,,,,,,,,
oil,whipped/sour cream,,,,,,,,,
whipped/sour cream,cream cheese,,,,,,,,,
whole milk,whipped/sour cream,frozen vegetables,,,,,,,,
white bread,spread cheese,,,,,,,,,
pork,whole milk,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
chewing gum,bottled water,,,,,,,,,
butter,canned beer,brown bread,canned beer,,,,,,,
pasta,tropical fruit,,,,,,,,,
butter,yogurt,,,,,,,,,
photo/film,soda,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
soft cheese,semi-finished bread,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
white wine,soda,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
chicken,coffee,,,,,,,,,
chocolate,hard cheese,,,,,,,,,
soda,soda,,,,,,,,,
whole milk,margarine,,,,,,,,,
canned fish,salty snack,,,,,,,,,
sausage,whole milk,root vegetables,citrus fruit,,,,,,,
liquor,vinegar,shopping bags,long life bakery product,,,,,,,
canned beer,hygiene articles,,,,,,,,,
other vegetables,curd,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
frankfurter,cream cheese,yogurt,baking powder,,,,,,,
whole milk,yogurt,pot plants,pastry,flower (seeds),pudding powder,,,,,
bottled water,shopping bags,brown bread,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
bottled water,soups,newspapers,root vegetables,shopping bags,,,,,,
domestic eggs,root vegetables,,,,,,,,,
other vegetables,soda,,,,,,,,,
tropical fruit,skin care,,,,,,,,,
meat,curd,,,,,,,,,
sausage,shopping bags,shopping bags,,,,,,,,
sausage,tropical fruit,,,,,,,,,
specialty cheese,brown bread,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
sausage,pastry,,,,,,,,,
artif. sweetener,salty snack,,,,,,,,,
oil,coffee,,,,,,,,,
citrus fruit,citrus fruit,other vegetables,whole milk,,,,,,,
chicken,curd,,,,,,,,,
canned beer,pip fruit,,,,,,,,,
other vegetables,flour,,,,,,,,,
rolls/buns,cereals,,,,,,,,,
hard cheese,margarine,rolls/buns,,,,,,,,
tropical fruit,curd cheese,,,,,,,,,
fruit/vegetable juice,baking powder,oil,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
tropical fruit,coffee,newspapers,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
shopping bags,soda,,,,,,,,,
fish,yogurt,,,,,,,,,
butter,photo/film,,,,,,,,,
other vegetables,frankfurter,newspapers,whole milk,pastry,,,,,,
coffee,oil,newspapers,,,,,,,,
whole milk,soft cheese,frozen vegetables,,,,,,,,
rolls/buns,soda,chocolate,soda,,,,,,,
citrus fruit,sugar,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
sausage,butter,,,,,,,,,
canned fish,cream cheese,,,,,,,,,
red/blush wine,shopping bags,,,,,,,,,
pastry,whipped/sour cream,whipped/sour cream,oil,,,,,,,
bottled beer,whole milk,,,,,,,,,
oil,bottled beer,yogurt,,,,,,,,
butter milk,shopping bags,baking powder,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
other vegetables,ice cream,pork,salt,,,,,,,
canned beer,misc. beverages,,,,,,,,,
pork,pastry,rolls/buns,,,,,,,,
other vegetables,whole milk,,,,,,,,,
root vegetables,specialty bar,,,,,,,,,
rolls/buns,whole milk,onions,,,,,,,,
napkins,whipped/sour cream,,,,,,,,,
pastry,other vegetables,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
pot plants,rolls/buns,,,,,,,,,
yogurt,yogurt,,,,,,,,,
brandy,ham,root vegetables,whole milk,,,,,,,
whole milk,candy,,,,,,,,,
other vegetables,pasta,,,,,,,,,
bottled water,rolls/buns,domestic eggs,,,,,,,,
sauces,tropical fruit,,,,,,,,,
flour,dessert,,,,,,,,,
pork,other vegetables,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
beef,brown bread,,,,,,,,,
root vegetables,butter,,,,,,,,,
dessert,red/blush wine,,,,,,,,,
rolls/buns,candy,white bread,,,,,,,,
artif. sweetener,sugar,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
soda,brown bread,,,,,,,,,
soft cheese,cat food,,,,,,,,,
beverages,tropical fruit,rolls/buns,curd cheese,,,,,,,
cake bar,long life bakery product,shopping bags,,,,,,,,
specialty chocolate,specialty cheese,,,,,,,,,
liquor,cream cheese,rolls/buns,,,,,,,,
sausage,sausage,domestic eggs,dish cleaner,rolls/buns,other vegetables,soda,,,,
whole milk,whole milk,cleaner,,,,,,,,
misc. beverages,red/blush wine,,,,,,,,,
white wine,UHT-milk,,,,,,,,,
pastry,bottled water,,,,,,,,,
pip fruit,detergent,,,,,,,,,
yogurt,chocolate,,,,,,,,,
pastry,dessert,,,,,,,,,
tropical fruit,curd,salt,bottled water,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
coffee,white bread,,,,,,,,,
whole milk,shopping bags,newspapers,,,,,,,,
yogurt,pastry,,,,,,,,,
frankfurter,soda,other vegetables,,,,,,,,
pork,mayonnaise,,,,,,,,,
grapes,curd,,,,,,,,,
other vegetables,soda,UHT-milk,salty snack,,,,,,,
tropical fruit,salty snack,,,,,,,,,
citrus fruit,cling film/bags,hard cheese,,,,,,,,
onions,rolls/buns,,,,,,,,,
butter,seasonal products,,,,,,,,,
tropical fruit,citrus fruit,yogurt,frankfurter,specialty chocolate,hard cheese,whole milk,canned beer,,,
UHT-milk,candles,yogurt,salty snack,,,,,,,
canned beer,margarine,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
soda,dessert,,,,,,,,,
whole milk,meat,,,,,,,,,
packaged fruit/vegetables,pet care,,,,,,,,,
frankfurter,soda,chocolate,,,,,,,,
chocolate marshmallow,flour,,,,,,,,,
roll products,soda,other vegetables,,,,,,,,
shopping bags,red/blush wine,butter,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
frankfurter,pastry,,,,,,,,,
citrus fruit,sausage,rolls/buns,frozen potato products,,,,,,,
hamburger meat,hard cheese,,,,,,,,,
pastry,canned beer,whipped/sour cream,grapes,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,whole milk,onions,sugar,,,,,,,
chicken,dog food,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
chicken,brown bread,soda,,,,,,,,
sausage,pastry,,,,,,,,,
soda,sugar,,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
salt,oil,,,,,,,,,
whole milk,frankfurter,whole milk,curd,canned vegetables,,,,,,
rolls/buns,candy,onions,,,,,,,,
hard cheese,domestic eggs,,,,,,,,,
bottled water,yogurt,,,,,,,,,
yogurt,baking powder,,,,,,,,,
zwieback,yogurt,,,,,,,,,
tropical fruit,newspapers,bottled water,,,,,,,,
rolls/buns,cream cheese,,,,,,,,,
mustard,curd,,,,,,,,,
soda,sliced cheese,butter,,,,,,,,
beef,male cosmetics,,,,,,,,,
chicken,whole milk,,,,,,,,,
canned beer,margarine,chocolate,,,,,,,,
other vegetables,yogurt,other vegetables,flour,,,,,,,
rolls/buns,rolls/buns,specialty bar,,,,,,,,
beverages,yogurt,,,,,,,,,
organic sausage,yogurt,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
other vegetables,napkins,,,,,,,,,
whipped/sour cream,onions,other vegetables,yogurt,rolls/buns,,,,,,
curd,whipped/sour cream,,,,,,,,,
cat food,coffee,,,,,,,,,
UHT-milk,soda,whole milk,whole milk,,,,,,,
soft cheese,white wine,,,,,,,,,
sausage,ketchup,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
turkey,bottled water,other vegetables,newspapers,,,,,,,
pip fruit,soda,condensed milk,,,,,,,,
photo/film,soda,cream cheese,,,,,,,,
onions,other vegetables,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
meat,whole milk,,,,,,,,,
dessert,sliced cheese,bottled beer,other vegetables,,,,,,,
pork,other vegetables,,,,,,,,,
hamburger meat,rolls/buns,pip fruit,berries,,,,,,,
pork,bottled water,,,,,,,,,
butter milk,soda,ham,bottled beer,detergent,,,,,,
sausage,misc. beverages,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
beef,waffles,domestic eggs,,,,,,,,
pip fruit,syrup,,,,,,,,,
chicken,vinegar,,,,,,,,,
canned beer,onions,,,,,,,,,
beef,root vegetables,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
hamburger meat,soft cheese,yogurt,margarine,,,,,,,
chewing gum,citrus fruit,,,,,,,,,
sliced cheese,bottled water,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pork,dessert,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
meat,curd,,,,,,,,,
chicken,coffee,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
tropical fruit,coffee,canned vegetables,,,,,,,,
root vegetables,frozen vegetables,pet care,,,,,,,,
root vegetables,curd,waffles,,,,,,,,
fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,,
tea,beverages,,,,,,,,,
grapes,yogurt,condensed milk,,,,,,,,
waffles,chicken,hard cheese,dishes,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
chocolate,tea,,,,,,,,,
mayonnaise,processed cheese,,,,,,,,,
margarine,berries,yogurt,coffee,soda,chewing gum,,,,,
other vegetables,whole milk,light bulbs,canned beer,,,,,,,
rolls/buns,canned beer,,,,,,,,,
pork,canned beer,rolls/buns,yogurt,mustard,oil,popcorn,whipped/sour cream,,,
soda,packaged fruit/vegetables,butter milk,,,,,,,,
soda,frozen meals,soft cheese,curd,,,,,,,
frozen dessert,flower (seeds),,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
meat,yogurt,,,,,,,,,
other vegetables,grapes,,,,,,,,,
frozen meals,rolls/buns,,,,,,,,,
whole milk,whole milk,,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,,
whole milk,onions,cream cheese,,,,,,,,
other vegetables,dishes,newspapers,,,,,,,,
yogurt,other vegetables,,,,,,,,,
whole milk,soft cheese,pastry,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
other vegetables,organic sausage,cling film/bags,,,,,,,,
beef,citrus fruit,whole milk,yogurt,,,,,,,
beef,rolls/buns,,,,,,,,,
prosecco,dessert,,,,,,,,,
rolls/buns,sauces,,,,,,,,,
yogurt,specialty vegetables,,,,,,,,,
citrus fruit,hard cheese,canned fish,,,,,,,,
brown bread,dessert,,,,,,,,,
tropical fruit,whole milk,liquor,,,,,,,,
soda,rolls/buns,,,,,,,,,
sausage,sausage,dog food,yogurt,hygiene articles,chocolate,,,,,
candy,other vegetables,,,,,,,,,
root vegetables,white bread,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
sausage,soda,,,,,,,,,
margarine,frozen vegetables,,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
newspapers,pastry,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
curd,whole milk,canned beer,,,,,,,,
bottled water,whole milk,rolls/buns,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
ice cream,curd,,,,,,,,,
bottled water,soda,soda,,,,,,,,
dessert,root vegetables,,,,,,,,,
ham,chicken,condensed milk,other vegetables,whipped/sour cream,,,,,,
sausage,whole milk,cake bar,,,,,,,,
tropical fruit,red/blush wine,,,,,,,,,
hamburger meat,dessert,,,,,,,,,
hamburger meat,cleaner,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
whole milk,chicken,curd,rolls/buns,cereals,bottled water,,,,,
sausage,pip fruit,,,,,,,,,
pork,coffee,margarine,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
other vegetables,long life bakery product,pastry,,,,,,,,
red/blush wine,canned fish,,,,,,,,,
other vegetables,Instant food products,sugar,,,,,,,,
soda,pastry,,,,,,,,,
whole milk,yogurt,pasta,,,,,,,,
pip fruit,sausage,pip fruit,shopping bags,,,,,,,
tropical fruit,waffles,,,,,,,,,
oil,whole milk,,,,,,,,,
coffee,other vegetables,margarine,domestic eggs,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
oil,bottled beer,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
pip fruit,white wine,sweet spreads,,,,,,,,
soda,shopping bags,,,,,,,,,
pip fruit,rolls/buns,yogurt,,,,,,,,
berries,tropical fruit,whole milk,soda,,,,,,,
whole milk,whole milk,sausage,newspapers,soda,flour,bottled water,liquor,,,
specialty chocolate,liquor,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
root vegetables,baking powder,,,,,,,,,
onions,soda,,,,,,,,,
canned beer,bottled beer,,,,,,,,,
bottled beer,whipped/sour cream,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
bottled water,newspapers,,,,,,,,,
frankfurter,hard cheese,,,,,,,,,
packaged fruit/vegetables,cat food,dental care,,,,,,,,
meat spreads,chocolate,,,,,,,,,
beef,whole milk,,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
pastry,curd,,,,,,,,,
specialty chocolate,shopping bags,,,,,,,,,
beverages,shopping bags,,,,,,,,,
pork,spread cheese,,,,,,,,,
detergent,rolls/buns,,,,,,,,,
whipped/sour cream,beef,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
bottled beer,white bread,,,,,,,,,
pip fruit,other vegetables,bottled water,,,,,,,,
bottled water,sausage,yogurt,bottled water,,,,,,,
brown bread,sugar,,,,,,,,,
seasonal products,white wine,,,,,,,,,
hamburger meat,curd,,,,,,,,,
canned beer,other vegetables,dessert,pastry,,,,,,,
frozen vegetables,specialty bar,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
pork,semi-finished bread,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
bottled beer,instant coffee,,,,,,,,,
rolls/buns,whipped/sour cream,waffles,rolls/buns,margarine,soda,salty snack,soda,canned beer,,
bottled beer,sparkling wine,hamburger meat,rolls/buns,,,,,,,
seasonal products,onions,,,,,,,,,
brandy,dessert,,,,,,,,,
frankfurter,soda,napkins,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
tropical fruit,soda,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
specialty vegetables,yogurt,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
other vegetables,rum,bottled water,,,,,,,,
white wine,root vegetables,,,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
softener,dish cleaner,,,,,,,,,
grapes,chicken,,,,,,,,,
citrus fruit,semi-finished bread,yogurt,,,,,,,,
whole milk,rolls/buns,ice cream,brown bread,,,,,,,
rolls/buns,yogurt,newspapers,margarine,,,,,,,
sausage,pip fruit,,,,,,,,,
tropical fruit,onions,,,,,,,,,
canned beer,canned beer,,,,,,,,,
white bread,yogurt,,,,,,,,,
bottled beer,ice cream,pastry,red/blush wine,,,,,,,
rice,jam,,,,,,,,,
sausage,citrus fruit,whole milk,butter milk,salty snack,dessert,specialty chocolate,,,,
soda,beef,bottled beer,soda,,,,,,,
soda,frozen meals,,,,,,,,,
whole milk,bottled water,,,,,,,,,
roll products,rice,,,,,,,,,
other vegetables,soda,,,,,,,,,
rolls/buns,abrasive cleaner,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
herbs,onions,brown bread,,,,,,,,
ice cream,detergent,rolls/buns,,,,,,,,
coffee,butter milk,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
chicken,whole milk,,,,,,,,,
other vegetables,pip fruit,frozen vegetables,,,,,,,,
tropical fruit,white wine,,,,,,,,,
whole milk,soda,,,,,,,,,
pip fruit,specialty bar,long life bakery product,,,,,,,,
vinegar,butter,newspapers,,,,,,,,
liquor,other vegetables,onions,female sanitary products,,,,,,,
coffee,butter,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
pasta,yogurt,cat food,,,,,,,,
pip fruit,beverages,pastry,,,,,,,,
cream cheese,whole milk,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
sausage,yogurt,fruit/vegetable juice,,,,,,,,
long life bakery product,zwieback,,,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
frozen meals,brown bread,dishes,,,,,,,,
bottled water,shopping bags,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
ready soups,baking powder,,,,,,,,,
beef,napkins,,,,,,,,,
soda,brown bread,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
root vegetables,pork,soda,coffee,pastry,,,,,,
white bread,mayonnaise,,,,,,,,,
UHT-milk,soda,,,,,,,,,
canned beer,hard cheese,,,,,,,,,
tropical fruit,soda,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
chocolate marshmallow,specialty chocolate,,,,,,,,,
meat,domestic eggs,,,,,,,,,
cat food,white bread,,,,,,,,,
chewing gum,beef,domestic eggs,,,,,,,,
root vegetables,chewing gum,margarine,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
berries,dishes,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
newspapers,frozen meals,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
other vegetables,liquor (appetizer),,,,,,,,,
curd,butter,,,,,,,,,
pastry,red/blush wine,,,,,,,,,
other vegetables,instant coffee,instant coffee,hygiene articles,,,,,,,
seasonal products,other vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
frankfurter,grapes,soda,seasonal products,,,,,,,
rolls/buns,frankfurter,oil,pip fruit,mayonnaise,,,,,,
shopping bags,chocolate,,,,,,,,,
whole milk,sugar,,,,,,,,,
bottled water,beef,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
meat,chicken,yogurt,pip fruit,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
meat,other vegetables,zwieback,,,,,,,,
beverages,other vegetables,,,,,,,,,
hamburger meat,dog food,,,,,,,,,
female sanitary products,cleaner,coffee,sauces,,,,,,,
frozen meals,whole milk,,,,,,,,,
citrus fruit,specialty chocolate,,,,,,,,,
ham,citrus fruit,cling film/bags,,,,,,,,
whole milk,napkins,flour,,,,,,,,
curd,soda,,,,,,,,,
chicken,other vegetables,bathroom cleaner,chicken,grapes,fruit/vegetable juice,fruit/vegetable juice,soda,,,
berries,tropical fruit,,,,,,,,,
dessert,margarine,,,,,,,,,
soda,yogurt,,,,,,,,,
canned beer,whole milk,soda,,,,,,,,
ice cream,long life bakery product,,,,,,,,,
berries,canned fish,,,,,,,,,
